id,code,zip_sat_code/id,name
res_colonia_zip_sat_code_82,1,zip_sat_code_8736,Monte Chico
res_colonia_zip_sat_code_83,1,zip_sat_code_8751,La Unión Nueva
res_colonia_zip_sat_code_84,1,zip_sat_code_8760,Santa Rita
res_colonia_zip_sat_code_85,1,zip_sat_code_8767,Xitoltepeque
res_colonia_zip_sat_code_86,1,zip_sat_code_8777,Guadalupe I
res_colonia_zip_sat_code_87,1,zip_sat_code_8802,San José Chacté
res_colonia_zip_sat_code_88,1,zip_sat_code_8823,Jesús Carranza
res_colonia_zip_sat_code_89,1,zip_sat_code_8847,San Isidro
res_colonia_zip_sat_code_90,1,zip_sat_code_8860,Jolik-alum
res_colonia_zip_sat_code_91,1,zip_sat_code_8870,Meonho
res_colonia_zip_sat_code_92,1,zip_sat_code_8881,Canolal
res_colonia_zip_sat_code_93,1,zip_sat_code_8889,Las Limas
res_colonia_zip_sat_code_94,1,zip_sat_code_8895,Don Pedro
res_colonia_zip_sat_code_95,1,zip_sat_code_8908,Arroyo Palenque
res_colonia_zip_sat_code_96,1,zip_sat_code_8922,Esperanza Ocotal
res_colonia_zip_sat_code_97,1,zip_sat_code_8925,Santa Bárbara
res_colonia_zip_sat_code_98,1,zip_sat_code_8931,San Vicente
res_colonia_zip_sat_code_99,1,zip_sat_code_8948,San Miguel Catarraya
res_colonia_zip_sat_code_100,1,zip_sat_code_8959,Ramón F. Balboa
res_colonia_zip_sat_code_101,1,zip_sat_code_8967,El Retiro
res_colonia_zip_sat_code_102,1,zip_sat_code_8979,Benito Juárez Centro
res_colonia_zip_sat_code_103,1,zip_sat_code_8995,Boca del Río Chico
res_colonia_zip_sat_code_104,1,zip_sat_code_9083,Corrala
res_colonia_zip_sat_code_105,1,zip_sat_code_9120,Doctor Manuel Velasco Suárez
res_colonia_zip_sat_code_106,1,zip_sat_code_9134,El Raizal
res_colonia_zip_sat_code_107,1,zip_sat_code_9155,Las Champas
res_colonia_zip_sat_code_108,1,zip_sat_code_9171,Francisco Villa
res_colonia_zip_sat_code_109,1,zip_sat_code_9175,San Fermín
res_colonia_zip_sat_code_110,1,zip_sat_code_9228,Sagrado Corazón
res_colonia_zip_sat_code_111,1,zip_sat_code_9237,Jerusalén
res_colonia_zip_sat_code_112,1,zip_sat_code_9362,Zacualpa
res_colonia_zip_sat_code_113,1,zip_sat_code_9367,El Altillo
res_colonia_zip_sat_code_114,1,zip_sat_code_9439,Aurora Cintal
res_colonia_zip_sat_code_115,1,zip_sat_code_9496,Josefa Ortiz de Domínguez
res_colonia_zip_sat_code_116,1,zip_sat_code_9520,Las Piedritas
res_colonia_zip_sat_code_117,1,zip_sat_code_9540,Embarcadero de Jericó (El Siglo)
res_colonia_zip_sat_code_118,1,zip_sat_code_9558,Miramar
res_colonia_zip_sat_code_119,1,zip_sat_code_9573,El Rosario
res_colonia_zip_sat_code_120,1,zip_sat_code_9585,7 de Abril
res_colonia_zip_sat_code_121,1,zip_sat_code_9643,Playón
res_colonia_zip_sat_code_122,1,zip_sat_code_9654,La Florida
res_colonia_zip_sat_code_123,1,zip_sat_code_9655,Jardín las Flores
res_colonia_zip_sat_code_124,1,zip_sat_code_9675,FOVISSSTE Guadalupe
res_colonia_zip_sat_code_125,1,zip_sat_code_9685,Esquipulas
res_colonia_zip_sat_code_126,1,zip_sat_code_9745,Coapantes
res_colonia_zip_sat_code_127,1,zip_sat_code_9854,Pino Suárez
res_colonia_zip_sat_code_128,1,zip_sat_code_9865,San Judas Tadeo
res_colonia_zip_sat_code_129,1,zip_sat_code_9875,San Juan
res_colonia_zip_sat_code_130,1,zip_sat_code_9889,Talquián
res_colonia_zip_sat_code_131,1,zip_sat_code_9895,Rosario Ixtal
res_colonia_zip_sat_code_132,1,zip_sat_code_9905,Los Olivos
res_colonia_zip_sat_code_133,1,zip_sat_code_9930,Reforma
res_colonia_zip_sat_code_134,1,zip_sat_code_9958,El Cercadillo
res_colonia_zip_sat_code_135,1,zip_sat_code_9975,Los Pérez
res_colonia_zip_sat_code_136,1,zip_sat_code_9991,Vega de Guerrero
res_colonia_zip_sat_code_137,1,zip_sat_code_5164,Caminos del Valle
res_colonia_zip_sat_code_138,1,zip_sat_code_5611,Campo Número Quince
res_colonia_zip_sat_code_139,1,zip_sat_code_5650,Campo Setenta y Tres
res_colonia_zip_sat_code_140,1,zip_sat_code_5657,Punta Oriente
res_colonia_zip_sat_code_141,1,zip_sat_code_5684,Guadalupe
res_colonia_zip_sat_code_142,1,zip_sat_code_5708,Praderas del Oriente
res_colonia_zip_sat_code_143,1,zip_sat_code_5829,El Bismarck
res_colonia_zip_sat_code_144,1,zip_sat_code_5865,Santa Rosa
res_colonia_zip_sat_code_145,1,zip_sat_code_5888,Barrio Sur
res_colonia_zip_sat_code_146,1,zip_sat_code_5908,Oscar Ornelas
res_colonia_zip_sat_code_147,1,zip_sat_code_5981,Campo Cincuenta y Seis (Tres Hermanos)
res_colonia_zip_sat_code_148,1,zip_sat_code_5984,El Pajarito
res_colonia_zip_sat_code_149,1,zip_sat_code_6569,Cerrada de los Cipreses
res_colonia_zip_sat_code_150,1,zip_sat_code_6834,El Ágate
res_colonia_zip_sat_code_151,1,zip_sat_code_6916,Bosques de San Jerónimo
res_colonia_zip_sat_code_152,1,zip_sat_code_7017,Central de Abastos
res_colonia_zip_sat_code_153,1,zip_sat_code_7127,Rancho Llorarás
res_colonia_zip_sat_code_154,1,zip_sat_code_7134,Camino Real
res_colonia_zip_sat_code_155,1,zip_sat_code_7167,Guadalupe de la Saucería
res_colonia_zip_sat_code_156,1,zip_sat_code_7189,Las Truchas
res_colonia_zip_sat_code_157,1,zip_sat_code_7214,El Pozo
res_colonia_zip_sat_code_158,1,zip_sat_code_7259,Rancho Dominguez
res_colonia_zip_sat_code_159,1,zip_sat_code_7268,Santo Toribio
res_colonia_zip_sat_code_160,1,zip_sat_code_7297,Las Juntas
res_colonia_zip_sat_code_161,1,zip_sat_code_7394,San Isidro
